Python 2.7.3 | 32-bit | (default, Aug  8 2013, 05:34:32) [MSC v.1500 32 bit (Intel)] on win32
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 
run 0
2 460 2
3 693 9
4 914 13
5 1179 30
6 1399 41
7 1697 68
8 1826 83
9 2075 91
10 2314 126
11 2559 150
12 2763 149
13 2961 235
14 3126 235
15 3292 258
16 3447 323
17 3699 374
18 3926 407
19 4032 425
20 4160 431
21 4238 495
22 4412 583
23 4536 549
24 4747 643
25 4762 720
26 4843 744
27 4841 725
28 4865 740
29 4785 736
30 4890 704
31 5075 871
32 5088 741
33 5005 758
34 5084 750
35 5127 834
36 5031 736
37 4923 789
38 4963 758
39 5030 759
40 5048 766
41 5080 783
42 5097 824
43 4999 996
44 5127 802
45 5046 775
46 5054 776
47 4921 765
48 4963 885
49 4998 851
50 5001 779
51 5072 804
52 4975 743
53 5016 838
54 5008 792
55 5158 864
56 5040 808
57 4978 838
58 5131 817
59 5030 799
60 4962 1101
61 4975 779
62 5048 799
63 5019 824
64 5055 827
65 4990 832
66 4964 1369
67 300 162590
68 4973 769
69 5125 790
70 199 170918
71 5065 801
72 5008 780
73 5003 730
74 5014 883
75 5049 848
76 4895 845
77 5005 862
78 132 192279
79 5001 957
80 67 196927
81 124 199551
82 5040 1045
83 5129 920
84 5099 1334
85 5094 1000
86 5088 917
87 71 214857
88 84 217463
89 5070 920
90 58 222168
91 43 225387
92 47 227042
93 70 229227
94 42 233005
95 42 234587
96 72 236643
97 41 240344
98 47 242305
99 5244 954
run 1
2 497 4
3 718 7
4 981 11
5 1185 31
6 1395 37
7 1646 57
8 1920 83
9 2047 93
10 2274 110
11 2539 161
12 2690 167
13 2942 247
14 3027 223
15 3330 261
16 3439 301
17 3642 355
18 3818 361
19 4036 408
20 4146 466
21 4277 578
22 4401 538
23 4547 596
24 4667 567
25 4760 714
26 4859 690
27 4798 645
28 4853 765
29 4938 752
30 4951 740
31 4917 701
32 4972 738
33 4929 781
34 5011 754
35 5102 779
36 5084 802
37 4935 796
38 5036 787
39 5086 731
40 4960 796
41 5016 764
42 5109 839
43 4944 853
44 5024 812
45 4915 785
46 5056 815
47 4974 778
48 5095 779
49 4966 803
50 4988 771
51 5115 940
52 5064 763
53 5105 838
54 4883 897
55 5023 799
56 5025 822
57 5024 815
58 5033 783
59 5021 778
60 5146 871
61 5005 792
62 5018 750
63 5096 853
64 5104 804
65 5084 924
66 5196 901
67 5047 802
68 5048 933
69 5028 959
70 5184 912
71 4918 817
72 5046 824
73 5065 788
74 4994 843
75 145 184005
76 5113 855
77 5168 955
78 166 190814
79 139 193992
80 143 196238
81 92 199430
82 5184 985
83 5043 1166
84 5167 1052
85 4978 817
86 69 212225
87 105 213407
88 76 216789
89 72 219060
90 5207 842
91 61 224307
92 121 224878
93 56 229706
94 51 232923
95 46 234738
96 54 237311
97 41 239427
98 35 242649
99 38 245086
run 2
2 452 0
3 679 7
4 927 16
5 1157 27
6 1449 39
7 1680 64
8 1910 73
9 2083 124
10 2250 102
11 2554 147
12 2684 136
13 2902 202
14 3153 238
15 3376 287
16 3486 356
17 3667 335
18 3851 431
19 4029 461
20 4194 525
21 4284 504
22 4488 574
23 4567 607
24 4676 670
25 4618 599
26 4811 628
27 4812 690
28 4998 831
29 4968 774
30 4846 671
31 4909 697
32 5014 806
33 5000 688
34 4983 689
35 4962 750
36 4974 755
37 5066 956
38 4948 742
39 5113 879
40 5134 826
41 4965 761
42 4969 745
43 4961 694
44 4989 772
45 4968 753
46 5139 945
47 5072 868
48 5027 761
49 5071 905
50 5047 807
51 4896 791
52 5020 830
53 4924 790
54 4999 770
55 5013 824
56 5082 886
57 5037 782
58 5052 906
59 5189 803
60 4988 797
61 5026 873
62 4966 779
63 5020 812
64 4962 825
65 4936 828
66 5061 802
67 5107 768
68 4993 814
69 4982 870
70 5160 911
71 5033 819
72 5023 854
73 5065 896
74 5187 1110
75 127 184666
76 5108 1001
77 4943 856
